ana;sentence
0;Par ordonnance du 21 mai 2014, le juge des libertés et de la détention du tribunal de grande instance de Paris a, d'une part, autorisé, en application des dispositions de l'article L. 450-4 du code de commerce, des opérations de visite et de saisie dans les locaux de plusieurs sociétés, dont la société Whirlpool France, à Suresnes (92) et, d'autre part, délivré commission rogatoire à son homologue du tribunal de grande instance de Nanterre qui, par ordonnance du 22 mai 2014, a mis en oeuvre les opérations concernant cette société.
0;"Le moyen critique l'ordonnance attaquée en ce qu'elle a annulé en toutes ses dispositions l'ordonnance rendue par le juge des libertés et de la détention du tribunal de grande instance de Paris en date du 21 mai 2014 et l'ordonnance rendue sur commission rogatoire par le juge des libertés et de la détention du tribunal de grande instance de Nanterre en date du 22 mai 2014, d'avoir annulé les opérations de visites et saisies en date des 27 et 28 mai 2014 effectués dans les locaux de de la société Whirlpool France, sis [Adresse 1], d'avoir ordonné la restitution à Whirlpool France de l'ensemble des documents saisis, sans possibilité pour l'Autorité de la concurrence d'en garder copie, et d'avoir rejeté toute autre demande alors « que le juge saisi d'une demande d'autorisation de procéder à des visites et saisies vérifie le bien-fondé de la demande d'autorisation, qui doit comporter les éléments d'information en possession du demandeur de nature à justifier la visite ;"
0;"PAR CES MOTIFS, la Cour : CASSE et ANNULE l'ordonnance susvisée du premier président de la cour d'appel de Paris, en date du 8 juillet 2020, mais en ses seules dispositions relatives, d'une part, à l'examen des documents susceptibles de fonder la requête et, d'autre part, aux conséquences des ordonnances attaquées à l'égard des sociétés Groupe Candy Hoover et GIFAM, toutes autres dispositions étant expressément maintenues ;"
0;"qu'en relevant que les déclarations d'appels formés les 20 et 23 novembre 2018 par la société Highlands technologies et M. [N] portent sur le dispositif pénal, de sorte que, en l'absence de déclaration de culpabilité pour des infractions de nature pénale et de condamnation pénale dans le jugement frappé d'appel, ces recours doivent être déclarés irrecevables, lorsque, en l'absence de toute condamnation pénale, il s'évince nécessairement des actes d'appel que les prévenus, qui contestaient avoir commis les faits reprochés, même s'ils ne mentionnaient in fine que les dispositions pénales du jugement, visaient à l'évidence les infractions douanières pour lesquelles les prévenus avaient été déclarés coupables et les amendes douanières auxquelles ils avaient été condamnés, la cour d'appel a méconnu les articles 509, 591 et 593 du code de procédure pénale ;"
0;L'arrêt attaqué, pour déclarer irrecevables les appels formés par les prévenus, relève qu'il ressort des actes d'appel du 20 novembre 2018 que tant la société Highlands technologies que M. [N] ont entendu former appel contre le jugement rendu par le tribunal correctionnel le 14 novembre 2018, précisant que l'appel porte sur le dispositif pénal, et que l'acte d'appel du 23 novembre 2018 a été formé contre le jugement en date du 5 septembre 2018 rendu par le tribunal correctionnel, qui a rejeté la question prioritaire de constitutionnalité, précisant que l'appel porte sur le dispositif pénal et complète l'appel interjeté le 20 novembre 2018 contre le jugement du 14 novembre 2018, de sorte qu'à deux reprises, les appelants, par l'intermédiaire de leur conseil, ont entendu limiter l'appel aux seules dispositions pénales du jugement, à l'exclusion des relaxes prononcées s'agissant des faits de fausse déclaration d'espèce.
0;Cependant, le Conseil, considérant que l'abrogation immédiate des dispositions contestées entraînerait des conséquences manifestement excessives, a, d'une part, reporté au 31 décembre 2021 la date de leur abrogation, d'autre part, précisé que les mesures prises avant la publication de la présente décision ne peuvent être contestées sur le fondement de cette inconstitutionnalité.
0;Selon la jurisprudence de la Cour de cassation (Crim., 24 février 2021, pourvoi n° 20-86.537, en cours de publication), l'absence d'information donnée à la personne qui comparaît devant la chambre de l'instruction saisie du contentieux d'une mesure de sûreté de son droit de faire des déclarations, de répondre aux questions posées ou de se taire est sans incidence sur la régularité de la décision de la chambre de l'instruction et a pour seule conséquence que les déclarations de l'intéressé ne pourront être utilisées à son encontre par les juridictions appelées à prononcer un renvoi devant la juridiction de jugement ou une déclaration de culpabilité.
0;"qu'en l'espèce, par un mémoire régulièrement déposé devant la chambre de l'instruction, M. [R] faisait valoir qu'il n'était pas en mesure de régler un cautionnement aussi important que celui auquel il était astreint, car non seulement ses ressources étaient en nette diminution en raison de la conjoncture actuelle et du contexte procédural, mais encore il doit assumer des charges fixes très importantes dont il justifiait précisément, notamment des prêts et crédits ainsi que des frais relatifs à l'éducation de sa fille et au logement de sa famille ;"
0;Ils observent enfin, qu'au plan légal, au regard de l'article 138, alinéa 2, 11° du code de procédure pénale, les ressources et les charges de la personne mise en examen constituent un des critères à prendre en compte pour déterminer le montant de la caution mais non le seul.
0;"Le moyen critique l'arrêt attaqué en ce qu'il a placé M. [M] sous contrôle judiciaire en l'astreignant à se soumettre à de nombreuses obligations, alors « que les dispositions de l'article 199 du code de procédure pénale, dans sa version issue août 2021 de la loi n° 2016-731 du 3 juin 2016, portent atteinte aux droits de la défense et au droit à un recours juridictionnel effectif garantis par l'article 16 de la Déclaration des droits de l'homme et du citoyen de 1789, en tant qu'elles ne prévoient pas que la comparution personnelle du mis en examen devant la chambre de l'instruction saisie de l'appel d'une ordonnance de placement sous contrôle judiciaire est de droit quand il en fait la demande ou en tant qu'elles permettent à la chambre de l'instruction de refuser de manière purement discrétionnaire la demande de ce mis en examen de comparaître personnellement sans justifier sa décision, sans faculté d'opposition et de recours pour celui-ci, alors même que le mis en examen n'a jamais comparu devant un juge pour débattre du contrôle judiciaire ;"
