form	reading_text	CB	IJ	SP
comprendre que	on peut comprendre que Aveco, souhaitant faire la lumière complète sur cette reprise, a souhaité, que ce ou ces courrier(s) de reprise soient bien réceptionné(s) avant de procéder au licenciement ;	1	1	1
ignoraient délibérément l'autorité de	qu'en se fondant, pour condamner les exposants au titre d'une prétendue résistance abusive, sur leur prétendu refus « de mettre à exécution les multiples décisions judiciaires intervenues », cependant que, dans ses conclusions d'appel, M. [X] n'avait pas invoqué de quelconques difficultés pour faire exécuter les décisions précédemment rendues et s'était borné à relever que les défendeurs ignoraient délibérément l'autorité de chose jugée pour remettre en cause des décisions judiciaires qui ne leur convenaient pas, la cour d'appel a violé l'article 4 du code de procédure civile ;	1	1	1
ignorait pas, et ne prétend d'	que l'exposition à l'amiante du salarié étant dès lors acquise, le manquement de la société EDF à son obligation de sécurité de résultat se trouve, par là même, établi - étant observé qu'à la période où [le demandeur] a travaillé en son sein, EDF n'ignorait pas, et ne prétend d'ailleurs pas avoir ignoré, la gravité des conséquences liées à l'inhalation de poussières d'amiante, pour la santé du salarié ;	1	1	1
ignorer qu'	13. Cette différence, quant aux modalités de signification de la citation à comparaître, entre le prévenu cité devant le tribunal correctionnel ou le tribunal de police et le prévenu appelant, repose sur leur situation objectivement différente, le premier pouvant légitimement ignorer qu'une procédure pénale a été diligentée à son encontre alors qu'il est attendu du second, en raison de son rôle dans la saisine de la juridiction, qu'il fasse preuve de diligence.	1	1	1
ignorer qu'	Or Mme W... née à Saïgon en 1947 dont la véritable identité est W... X... E... H..., fait mine d'ignorer qu'en langue vietnamienne le nom est composé du patronyme (W...) puis d'un nom de famille (X...) et ensuite d'un ou plusieurs prénoms (E...) ;	1	1	1
reconnaissait que	qu'en l'espèce, la société A-Rosa Flussschiff reconnaissait que le taux de majorations applicable en cas de travail dissimulé était, depuis le 1er janvier 2008, de 10 % (article R. 243-18, alinéa 3), mais reprochait à l'URSSAF de ne pas avoir détaillé ses calculs dans la mise en demeure ;	1	1	1
reconnaissant que	Mme [P] a saisi la Cour européenne des droits de l'homme qui, par décision du 27 février 2020, a pris acte des termes de la déclaration unilatérale du gouvernement français reconnaissant que, dans le cas d'espèce, les modalités concrètes de la signification de l'arrêt de la cour d'appel avaient eu pour effet de porter atteinte au droit d'accès de l'intéressée à la Cour de cassation, en violation de l'article 6, § 1, de la Convention de sauvegarde des droits de l'homme et des libertés fondamentales, et a rayé la requête du rôle.	1	1	1
reconnaît qu'	qu'en énonçant qu'à supposer que l'état d'urgence sanitaire constitue un fait de force majeure, le bailleur a fourni un local en lui-même exploitable, étant rappelé que le preneur reconnaît qu'il n'était pas dans l'impossibilité d'exécuter son obligation de payer le loyer de sorte qu'il n'est pas fondé à invoquer à son profit la force majeure, lorsque le preneur était pourtant dans l'impossibilité d'exploiter les lieux conformément à la destination prévue au contrat, la cour d'appel a violé l'article 1218 du code civil ;	1	1	1
reconnaît qu'	qu'en énonçant qu'à supposer que l'état d'urgence sanitaire constitue un fait de force majeure, le bailleur a fourni un local en lui-même exploitable, étant rappelé que le preneur reconnaît qu'il n'était pas dans l'impossibilité d'exécuter son obligation de payer le loyer de sorte qu'il n'est pas fondé à invoquer à son profit la force majeure, lorsque le preneur était pourtant dans l'impossibilité d'exploiter les lieux conformément à la destination prévue au contrat, la cour d'appel a violé l'article 1218 du code civil.	1	1	1
reconnaît qu'	qu'en énonçant qu'à supposer que l'état d'urgence sanitaire constitue un fait de force majeure, le bailleur a fourni un local en lui-même exploitable, étant rappelé que le preneur reconnaît qu'il n'était pas dans l'impossibilité d'exécuter son obligation de payer le loyer de sorte qu'il n'est pas fondé à invoquer à son profit la force majeure, lorsque le preneur était pourtant dans l'impossibilité d'exploiter les lieux conformément à la destination prévue au contrat, la cour d'appel a violé l'article 1218 du code civil. »	1	1	1
